Depth	Depth_m	Depth_m(Nablank)	Admix_71_Pop1	Admix_71_Pop2	Admix_All_Pop1	Admix_All_Pop2	PC1_AllSNPs
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0560275
10-15m	NA		0.00001	0.99999	0.00001	0.99999	-0.0364766
10-15m	NA		0.00001	0.99999	0.00001	0.99999	-0.0599784
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.057284
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0493625
10-15m	NA		0.99999	0.00001	0.99999	0.00001	0.0532381
10-15m	NA		0.99999	0.00001	0.948661	0.051339	0.0427597
10-15m	NA		0.082699	0.917301	0.00001	0.99999	-0.0426529
10-15m	NA		0.00001	0.99999	0.00001	0.99999	-0.0419871
10-15m	NA		0.00001	0.99999	0.00001	0.99999	-0.0427578
10-15m	NA		0.00001	0.99999	0.00001	0.99999	-0.0400932
10-15m	NA		0.766786	0.233214	0.563182	0.436818	0.0118105
10-15m	NA		0.934194	0.065806	0.59005	0.40995	0.0114015
10-15m	NA		0.694186	0.305814	0.532433	0.467567	0.0108973
10-15m	NA		0.424955	0.575045	0.536025	0.463975	0.00878451
10-15m	NA		0.528471	0.471529	0.509865	0.490135	0.00552031
10-15m	NA		0.07392	0.92608	0.178434	0.821566	-0.025725
10-15m	NA		0.400313	0.599687	0.080806	0.919194	-0.0343452
10-15m	NA		0.140019	0.859981	0.223538	0.776462	-0.0200923
10-15m	NA		0.341915	0.658085	0.134941	0.865059	-0.0232247
10-15m	NA		0.809665	0.190335	0.524653	0.475347	0.00514078
10-15m	NA		0.12399	0.87601	0.248034	0.751966	-0.0184512
10-15m	NA		0.791153	0.208847	0.561379	0.438621	0.00873059
10-15m	NA		0.587201	0.412799	0.593889	0.406111	0.0135436
10-15m	NA		0.30355	0.69645	0.0581	0.9419	-0.0315459
10-15m	NA		0.768962	0.231038	0.094785	0.905215	-0.0293611
10-15m	NA		0.030819	0.969181	0.513159	0.486841	0.00246152
10-15m	NA		0.636674	0.363326	0.473913	0.526087	0.00384085
10-15m	NA		0.209481	0.790519	0.309733	0.690267	-0.00722524
10-15m	NA		0.159924	0.840076	0.00001	0.99999	-0.0456054
10-15m	NA		0.00001	0.99999	0.00001	0.99999	-0.039653
10-15m	NA		0.172936	0.827064	0.112686	0.887314	-0.0207929
10-15m	NA		0.182111	0.817889	0.00001	0.99999	-0.0451326
10-15m	NA		0.142302	0.857698	0.00001	0.99999	-0.0391254
10-15m	NA		0.276838	0.723162	0.00001	0.99999	-0.0437248
10-15m	NA		0.324582	0.675418	0.00001	0.99999	-0.0291756
10-15m	NA		0.046129	0.953871	0.057625	0.942375	-0.0392357
10-15m	NA		0.605733	0.394267	0.445136	0.554864	0.00179144
10-15m	NA		0.00001	0.99999	0.145543	0.854457	-0.0250375
10-15m	NA		0.423598	0.576402	0.200262	0.799738	-0.0202319
10-15m	NA		0.560175	0.439825	0.10453	0.89547	-0.0250054
10-15m	NA		0.962245	0.037755	0.909388	0.090612	0.0336978
